year,engine_name,cylinders,bore_mm,stroke_mm,displacement_cm3,compression_ratio,con_rod_length_mm,con_rod_to_stroke_ratio,intake_valve_dia_mm,intake_valve_lift_mm,exhaust_valve_dia_mm,exhaust_valve_lift_mm,intake_duration_deg,exhaust_duration_deg,LSA_deg,advance_deg,source_file
2023,Created by oror 2023,12,139.7,152.4,28031.6658,5.75,254,1.6667,61.9125,13.5382,55.5625,13.5382,298,282,106,9,aircraft/allison_v1710_1711_v12.mr
2023,Created by oror 2023,6,105,120,6234.4906,3.75,230,1.9167,41.5,10,41.5,10,215,245,117,1.5,aircraft/anzani_6_381_r6.mr
2023,Created by oror 2023,6,145,160,15852.4765,4.75,275,1.7188,66,11.35,66,11,272,259,120.25,-3.75,aircraft/argus_as3_967_i6.mr
2023,Created by oror 2023,21,135,127,38175.122,6.75,254,2,64,14.5,60,14.5,245,245,112.5,0,aircraft/as_deerhound_2370_r21.mr
2023,Created by oror 2023,15,137,125,27639.634,6.6,225,1.8,64,14.5,60,14.5,245,245,112.5,0,aircraft/as_hyena_1724_r15.mr
2023,Created by oror 2023,6,145,190,18824.8159,4.96,330,1.7368,66,11.2,44,9.5,216,250,114,-1,aircraft/as_puma_1149_i6.mr
2023,Created by oror 2023,14,134.937,127,25426.3335,6.75,254,2,64.2937,14.5,60.325,14.5,230,250,110.5,2.5,aircraft/as_terrier_1552_r14.mr
2023,Created by oror 2023,6,135,175,15029.5756,5.05,315,1.8,48,9.9,48,9.9,220,232,104.5,4.5,aircraft/austro_daimler_917_i6.mr
2023,Created by oror 2023,6,145,190,18824.8159,4.93,330,1.7368,57,11.8,57,11.25,245,260,111.25,-1.25,aircraft/benz_bz4_1149_i6.mr
2023,Created by oror 2023,16,108,120,17588.8976,6.5,225,1.875,42,10,50,10,227,227,106.5,0,aircraft/bugatti_t67_1073_v16.mr
2023,Created by oror 2023,16,147.32,133.35,36368.5766,7,241.3,1.8095,76.2,15.875,67.945,15.875,290,290,92.5,9.5,aircraft/chrysler_iv2220_2219_v16.mr
